analyticsadmin/v1beta	2	55	53
analyticsdata/v1beta	3	11	8
bigquery/v2	5	47	42
calendar/v3	11	37	26
chat/v1	5	37	32
classroom/v1	53	104	51
cloudidentity/v1	3	63	60
docs/v1	2	3	1
drive/v3	17	57	40
gmail/v1	45	79	34
keep/v1	3	7	4
mybusinessaccountmanagement/v1	1	16	15
mybusinessbusinessinformation/v1	2	15	13
people/v1	11	24	13
searchconsole/v1	5	11	6
sheets/v4	9	17	8
tagmanager/v2	7	106	99
tasks/v1	8	14	6
youtube/v3	6	83	77
